Currency,rates
AED,4.025494
AFN,93.883467
ALL,104.410323
AMD,421.132282
ANG,1.962354
AOA,906.928812
ARS,286.264402
AUD,1.639307
AWG,1.9749889999999999
AZN,1.865422
BAM,1.955057
BBD,2.198465
BDT,118.285051
BGN,1.954143
BHD,0.41044
BIF,3078.989497
BMD,1.095999
BND,1.471487
BOB,7.524141
BRL,5.340253
BSD,1.088886
BTC,3.6428666000000006e-05
BTN,90.113112
BWP,14.774386
BYN,2.748268
BYR,21481.570853
BZD,2.194766
CAD,1.455979
CDF,2665.468517
CHF,0.975302
CLF,0.032087
CLP,885.369875
CNY,7.91903
COP,4576.188351
CRC,591.469841
CUC,1.095999
CUP,29.043961
CVE,110.228113
CZK,23.856385
DJF,193.866329
DKK,7.450455
DOP,60.706377
DZD,148.842081
EGP,33.657908
ERN,16.439978
ETB,59.912786
EUR,1.0
FJD,2.419525
FKP,0.853699
GBP,0.854665
GEL,2.844092
GGP,0.853699
GHS,12.385294
GIP,0.853699
GMD,65.375829
GNF,9362.271427
GTQ,8.539598999999999
GYD,229.742696
HKD,8.581274
HNL,26.806569
HRK,7.645808
HTG,150.320134
HUF,385.006763
IDR,16607.939466
ILS,4.052723
IMP,0.853699
INR,90.542245
IQD,1426.357974
IRR,46333.337294
ISK,147.105111
JEP,0.853699
JMD,168.537492
JOD,0.7774989999999999
JPY,156.205
KES,154.480564
KGS,96.162725
KHR,4496.209361
KMF,492.158331
KPW,986.398662
KRW,1428.365529
KWD,0.336351
KYD,0.9073549999999999
KZT,485.325573
LAK,20875.067329
LBP,16342.867697
LKR,339.7309
LRD,200.239992
LSL,20.659911
LTL,3.236198
LVL,0.6629579999999999
LYD,5.243008
MAD,10.669845
MDL,19.941785
MGA,4963.113982
MKD,61.586597
MMK,2286.531102
MNT,3768.686943
MOP,8.779264
MRO,391.271281
MUR,49.846073
MVR,16.867432
MWK,1147.064108
MXN,18.793832
MYR,5.108997
MZN,69.321922
NAD,20.659497
NGN,836.78434
NIO,39.82305
NOK,11.661737
NPR,144.181894
NZD,1.767128
OMR,0.42215
PAB,1.088786
PEN,3.959895
PGK,3.942466
PHP,60.912857
PKR,298.885621
PLN,4.452159
PYG,7941.981991
QAR,3.990564
RON,4.947443
RSD,117.164395
RUB,99.735824
RWF,1267.329969
SAR,4.111635
SBD,9.133321
SCR,14.382762
SDG,658.133512
SEK,11.870217
SGD,1.476951
SHP,1.333556
SLE,21.684404
SLL,21645.970041
SOS,623.079109
SRD,41.208803
STD,22684.956405
SVC,9.52738
SYP,2753.730673
SZL,20.804094
THB,38.488133
TJS,11.917054
TMT,3.846955
TND,3.3828
TOP,2.5823929999999997
TRY,28.655974
TTD,7.388192
TWD,34.364484
TZS,2680.264561
UAH,40.214385
UGX,4023.471053
USD,1.095999
UYU,41.273563
UZS,12598.212591
VEF,3092134.544202
VES,30.983277
VND,25920.36483
VUV,130.01499
WST,2.961373
XAF,655.713807
XAG,0.047521999999999995
XAU,0.000569
XCD,2.961991
XDR,0.81649
XOF,655.707826
XPF,119.737607
YER,274.383425
ZAR,20.743471
ZMK,9865.302818
ZMW,19.571563
ZWL,352.911074
